ag,capacity,date,geoGrp,latitude,longitude,lunchDur,lunchEnd,lunchStart,scheduleEnd,scheduleStart,technicianId,timeZone
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
,,,TFS_AL_BHAM_IPDSLAM_INST_T,,,,,,,,,
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_E_ST_LOUIS_T,38.624203,-90.156497,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,WW2629,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_ALTON_T,38.903433,-90.149335,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,EP6831,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_E_ST_LOUIS_T,38.624203,-90.156497,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,BH2164,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_OFALLON_T,38.624203,-90.156497,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,MI2721,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_OFALLON_T,38.624203,-90.156497,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,DC9386,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_ALTON_T,38.903433,-90.149335,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,TE1757,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_ALTON_T,38.903433,-90.149335,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,FW2671,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_OFALLON_T,38.624203,-90.156497,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,AS1274,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_DANVILLE_T,40.105596,-88.190307,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,DS4395,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_CHAMPAIGN_T,40.105596,-88.190307,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,DG2483,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_CHAMPAIGN_T,40.105596,-88.190307,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,MC7214,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_CHAMPAIGN_T,40.105596,-88.190307,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,JG2494,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_CHAMPAIGN_T,40.105596,-88.190307,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,RG7983,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_DANVILLE_T,40.105596,-88.190307,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,SS9674,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,RU8451,CENTRAL
IL_OUTSTATE_T,450.0,2019-06-20,TFS_IL_SPRINGFIELD_T,39.76413,-89.67831,30.0,2019-06-20T18:00:00.000Z,2019-06-20T16:00:00.000Z,2019-06-20T21:30:00.000Z,2019-06-20T13:00:00.000Z,PK1858,CENTRAL
