ag,date,end,lastUpdated,minutes,run,service,start,status
TX_LUBBOCK_E,2019-06-17,2019-06-17 16:39:12,2019-06-17 16:39:12,3.0,1,LoadData,2019-06-17 16:35:45,DONE
TX_EL_PASO_E,2019-06-17,2019-06-17 16:40:09,2019-06-17 16:40:09,4.0,1,LoadData,2019-06-17 16:35:45,DONE
TX_MIDLAND_ODESSA_E,2019-06-17,2019-06-17 16:37:45,2019-06-17 16:37:45,2.0,1,LoadData,2019-06-17 16:35:45,DONE
TX_ELPS_WS_CENTRAL_T,2019-06-17,2019-06-17 16:40:28,2019-06-17 16:40:28,4.0,1,LoadData,2019-06-17 16:35:45,DONE
TX_FTWO_MIDCITIES_E,2019-06-17,2019-06-17 16:39:47,2019-06-17 16:39:47,4.0,1,LoadData,2019-06-17 16:35:46,DONE
TX_FT_WORTH_MAIN_T,2019-06-17,2019-06-17 16:39:36,2019-06-17 16:39:36,3.0,1,LoadData,2019-06-17 16:35:46,DONE
TX_FTWO_NORTH_E,2019-06-17,2019-06-17 16:41:31,2019-06-17 16:41:31,5.0,1,LoadData,2019-06-17 16:35:46,DONE
TX_FTWO_SOUTH_E,2019-06-17,2019-06-17 16:41:14,2019-06-17 16:41:14,5.0,1,LoadData,2019-06-17 16:35:47,DONE
TX_FTWO_SOUTHEAST_E,2019-06-17,2019-06-17 16:42:01,2019-06-17 16:42:01,6.0,1,LoadData,2019-06-17 16:35:47,DONE
TX_HARLINGEN_E,2019-06-17,2019-06-17 16:37:34,2019-06-17 16:37:34,1.0,1,LoadData,2019-06-17 16:35:47,DONE
TX_LRDO_EAGLE_PASS_T,2019-06-17,2019-06-17 16:40:24,2019-06-17 16:40:24,4.0,1,LoadData,2019-06-17 16:35:47,DONE
TX_FTWO_SOUTHWEST_E,2019-06-17,2019-06-17 16:40:04,2019-06-17 16:40:04,4.0,1,LoadData,2019-06-17 16:35:47,DONE
TX_N_HOU_ALMDA_EST_E,2019-06-17,2019-06-17 16:40:04,2019-06-17 16:40:04,4.0,1,LoadData,2019-06-17 16:35:48,DONE
TX_N_HOU_AIRLINE_E,2019-06-17,2019-06-17 16:41:46,2019-06-17 16:41:46,5.0,1,LoadData,2019-06-17 16:35:48,DONE
TX_N_HOU_CHARLES_E,2019-06-17,2019-06-17 16:40:27,2019-06-17 16:40:27,4.0,1,LoadData,2019-06-17 16:35:48,DONE
TX_N_HOU_ALMEDA_E,2019-06-17,2019-06-17 16:39:54,2019-06-17 16:39:54,4.0,1,LoadData,2019-06-17 16:35:48,DONE
TX_SNAN_AUST_SOUTH_E,2019-06-17,2019-06-17 16:36:33,2019-06-17 16:36:33,0.0,1,SameLocation,2019-06-17 16:36:32,DONE
TX_SNAN_AUST_SOUTH_E,2019-06-17,2019-06-17 16:41:45,2019-06-17 16:41:45,5.0,1,DistanceMatrix,2019-06-17 16:36:34,DONE
TX_N_HOU_KEMPWOOD_E,2019-06-17,2019-06-17 16:37:14,2019-06-17 16:37:14,0.0,1,SameLocation,2019-06-17 16:37:03,DONE
TX_NO_SNAN_SO_AUST_T,2019-06-17,2019-06-17 16:37:19,2019-06-17 16:37:19,0.0,1,SameLocation,2019-06-17 16:37:14,DONE
TX_N_HOU_KEMPWOOD_E,2019-06-17,2019-06-17 16:41:07,2019-06-17 16:41:07,3.0,1,DistanceMatrix,2019-06-17 16:37:14,DONE
TX_NO_SNAN_SO_AUST_T,2019-06-17,2019-06-17 16:42:55,2019-06-17 16:42:55,5.0,1,DistanceMatrix,2019-06-17 16:37:19,DONE
TX_N_HOU_MUESHKE_E,2019-06-17,2019-06-17 16:37:23,2019-06-17 16:37:23,0.0,1,SameLocation,2019-06-17 16:37:19,DONE
TX_OUTSTATE_EAST_T,2019-06-17,2019-06-17 16:37:27,2019-06-17 16:37:27,0.0,1,SameLocation,2019-06-17 16:37:22,DONE
TX_N_HOU_MUESHKE_E,2019-06-17,2019-06-17 16:42:02,2019-06-17 16:42:02,4.0,1,DistanceMatrix,2019-06-17 16:37:24,DONE
TX_OUTSTATE_EAST_T,2019-06-17,2019-06-17 16:43:12,2019-06-17 16:43:12,5.0,1,DistanceMatrix,2019-06-17 16:37:27,DONE
TX_HARLINGEN_E,2019-06-17,2019-06-17 16:37:35,2019-06-17 16:37:35,0.0,1,SameLocation,2019-06-17 16:37:34,DONE
TX_HARLINGEN_E,2019-06-17,2019-06-17 16:42:42,2019-06-17 16:42:42,5.0,1,DistanceMatrix,2019-06-17 16:37:36,DONE
TX_OUTSTAT_NTHWST_T,2019-06-17,2019-06-17 16:37:46,2019-06-17 16:37:46,0.0,1,SameLocation,2019-06-17 16:37:41,DONE
MO_STLS_SOUTH_E,2019-06-17,2019-06-17 16:37:42,2019-06-17 16:37:42,0.0,1,SameLocation,2019-06-17 16:37:42,DONE
MO_STLS_SOUTH_E,2019-06-17,2019-06-17 16:43:13,2019-06-17 16:43:13,5.0,1,DistanceMatrix,2019-06-17 16:37:43,DONE
KS_WICHITA_E,2019-06-17,2019-06-17 16:37:46,2019-06-17 16:37:46,0.0,1,SameLocation,2019-06-17 16:37:44,DONE
TX_MIDLAND_ODESSA_E,2019-06-17,2019-06-17 16:37:47,2019-06-17 16:37:47,0.0,1,SameLocation,2019-06-17 16:37:45,DONE
KS_WICHITA_E,2019-06-17,2019-06-17 16:41:43,2019-06-17 16:41:43,3.0,1,DistanceMatrix,2019-06-17 16:37:46,DONE
TX_OUTSTAT_NTHWST_T,2019-06-17,2019-06-17 16:43:36,2019-06-17 16:43:36,5.0,1,DistanceMatrix,2019-06-17 16:37:46,DONE
TX_MIDLAND_ODESSA_E,2019-06-17,2019-06-17 16:43:10,2019-06-17 16:43:10,5.0,1,DistanceMatrix,2019-06-17 16:37:47,DONE
IL_SOUTHERN_E,2019-06-17,2019-06-17 16:37:57,2019-06-17 16:37:57,0.0,1,SameLocation,2019-06-17 16:37:57,DONE
IL_SOUTHERN_E,2019-06-17,2019-06-17 16:43:09,2019-06-17 16:43:09,5.0,1,DistanceMatrix,2019-06-17 16:37:57,DONE
TX_RIO_GRANDE_VLY_T,2019-06-17,2019-06-17 16:38:04,2019-06-17 16:38:04,0.0,1,SameLocation,2019-06-17 16:37:59,DONE
TX_NORTH_DALLAS_T,2019-06-17,2019-06-17 16:38:21,2019-06-17 16:38:21,0.0,1,SameLocation,2019-06-17 16:38:03,DONE
TX_RIO_GRANDE_VLY_T,2019-06-17,2019-06-17 16:42:53,2019-06-17 16:42:53,4.0,1,DistanceMatrix,2019-06-17 16:38:04,DONE
TX_NORTHWEST_HSTN_T,2019-06-17,2019-06-17 16:38:13,2019-06-17 16:38:13,0.0,1,SameLocation,2019-06-17 16:38:06,DONE
TX_NORTHWEST_HSTN_T,2019-06-17,2019-06-17 16:44:02,2019-06-17 16:44:02,5.0,1,DistanceMatrix,2019-06-17 16:38:13,DONE
TX_NORTH_DALLAS_T,2019-06-17,2019-06-17 16:43:35,2019-06-17 16:43:35,5.0,1,DistanceMatrix,2019-06-17 16:38:21,DONE
MO_SPRINGFIELD_E,2019-06-17,2019-06-17 16:38:28,2019-06-17 16:38:28,0.0,1,SameLocation,2019-06-17 16:38:24,DONE
IL_CHI_CENTRAL_E,2019-06-17,2019-06-17 16:38:32,2019-06-17 16:38:32,0.0,1,SameLocation,2019-06-17 16:38:27,DONE
MO_SPRINGFIELD_E,2019-06-17,2019-06-17 16:42:55,2019-06-17 16:42:55,4.0,1,DistanceMatrix,2019-06-17 16:38:28,DONE
TX_SOUTHEAST_DLLS_T,2019-06-17,2019-06-17 16:38:36,2019-06-17 16:38:36,0.0,1,SameLocation,2019-06-17 16:38:31,DONE
KS_TOPEKA_E,2019-06-17,2019-06-17 16:38:33,2019-06-17 16:38:33,0.0,1,SameLocation,2019-06-17 16:38:32,DONE
IL_CHI_CENTRAL_E,2019-06-17,2019-06-17 16:45:41,2019-06-17 16:45:41,7.0,1,DistanceMatrix,2019-06-17 16:38:32,DONE
KS_TOPEKA_E,2019-06-17,2019-06-17 16:44:54,2019-06-17 16:44:54,6.0,1,DistanceMatrix,2019-06-17 16:38:33,DONE
TX_N_HOU_PRSDO_EST_E,2019-06-17,2019-06-17 16:38:41,2019-06-17 16:38:41,0.0,1,SameLocation,2019-06-17 16:38:35,DONE
TX_SOUTHEAST_DLLS_T,2019-06-17,2019-06-17 16:43:44,2019-06-17 16:43:44,5.0,1,DistanceMatrix,2019-06-17 16:38:37,DONE
TX_N_HOU_PRSDO_EST_E,2019-06-17,2019-06-17 16:46:56,2019-06-17 16:46:56,8.0,1,DistanceMatrix,2019-06-17 16:38:41,DONE
TX_CORPUS_CHRISTI_E,2019-06-17,2019-06-17 16:38:45,2019-06-17 16:38:45,0.0,1,SameLocation,2019-06-17 16:38:42,DONE
TX_SNAN_SOUTHWEST_E,2019-06-17,2019-06-17 16:38:51,2019-06-17 16:38:51,0.0,1,SameLocation,2019-06-17 16:38:42,DONE
TX_CORPUS_CHRISTI_E,2019-06-17,2019-06-17 16:44:07,2019-06-17 16:44:07,5.0,1,DistanceMatrix,2019-06-17 16:38:45,DONE
TX_N_HOU_PARKWEST_E,2019-06-17,2019-06-17 16:38:51,2019-06-17 16:38:51,0.0,1,SameLocation,2019-06-17 16:38:45,DONE
TX_N_HOU_PRSDO_WST_E,2019-06-17,2019-06-17 16:39:06,2019-06-17 16:39:06,0.0,1,SameLocation,2019-06-17 16:38:48,DONE
TX_N_HOU_PARKWEST_E,2019-06-17,2019-06-17 16:46:41,2019-06-17 16:46:41,7.0,1,DistanceMatrix,2019-06-17 16:38:51,DONE
TX_SNAN_SOUTHWEST_E,2019-06-17,2019-06-17 16:44:09,2019-06-17 16:44:09,5.0,1,DistanceMatrix,2019-06-17 16:38:52,DONE
TX_AUST_SOUTH_E,2019-06-17,2019-06-17 16:39:09,2019-06-17 16:39:09,0.0,1,SameLocation,2019-06-17 16:38:53,DONE
TX_SOUTHEAST_HSTN_T,2019-06-17,2019-06-17 16:38:56,2019-06-17 16:38:56,0.0,1,SameLocation,2019-06-17 16:38:54,DONE
TX_SOUTHEAST_HSTN_T,2019-06-17,2019-06-17 16:43:32,2019-06-17 16:43:32,4.0,1,DistanceMatrix,2019-06-17 16:38:56,DONE
TX_SNAN_NORTH_E,2019-06-17,2019-06-17 16:39:18,2019-06-17 16:39:18,0.0,1,SameLocation,2019-06-17 16:38:57,DONE
TX_NORTHEAST_HSTN_T,2019-06-17,2019-06-17 16:39:06,2019-06-17 16:39:06,0.0,1,SameLocation,2019-06-17 16:39:04,DONE
TX_NORTHEAST_HSTN_T,2019-06-17,2019-06-17 16:45:37,2019-06-17 16:45:37,6.0,1,DistanceMatrix,2019-06-17 16:39:06,DONE
TX_N_HOU_PRSDO_WST_E,2019-06-17,2019-06-17 16:43:56,2019-06-17 16:43:56,4.0,1,DistanceMatrix,2019-06-17 16:39:06,DONE
IL_CHI_SOUTH_E,2019-06-17,2019-06-17 16:39:08,2019-06-17 16:39:08,0.0,1,SameLocation,2019-06-17 16:39:08,DONE
IL_CHI_SOUTH_E,2019-06-17,2019-06-17 16:43:44,2019-06-17 16:43:44,4.0,1,DistanceMatrix,2019-06-17 16:39:08,DONE
TX_AUST_SOUTH_E,2019-06-17,2019-06-17 16:43:06,2019-06-17 16:43:06,3.0,1,DistanceMatrix,2019-06-17 16:39:09,DONE
